movie,year,imdb,metascore,votes,certificate,showtime(mins),genre,summary
Inception,(2010),8.8,74,1765046,PG-13,148,"Action, Adventure, Sci-Fi            ",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.            
Shutter Island,(2010),8.1,63,964437,R,138,"Mystery, Thriller            ","In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.            "
Toy Story 3,(2010),8.3,92,655326,G,103,"Animation, Adventure, Comedy            ","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.            "
Black Swan,(2010),8.0,79,628830,R,108,"Drama, Thriller            ","A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.            "
Iron Man 2,(2010),7.0,57,620455,PG-13,124,"Action, Sci-Fi            ","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.            "
How to Train Your Dragon,(2010),8.1,74,584365,PG,98,"Animation, Action, Adventure            ","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.            "
The King's Speech,(2010),8.0,88,576301,R,118,"Biography, Drama, History            ","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.            "
The Social Network,(2010),7.7,95,553773,PG-13,120,"Biography, Drama            ","Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.            "
Kick-Ass,(2010),7.6,66,486214,R,117,"Action, Comedy            ","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.            "
Despicable Me,(2010),7.7,72,448477,PG,95,"Animation, Comedy, Family            ","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.            "
Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,65,403804,PG-13,146,"Adventure, Family, Fantasy            ","As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.            "
Tangled,(2010),7.8,71,350538,PG,100,"Animation, Adventure, Comedy            ","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.            "
Alice in Wonderland,(I) (2010),6.5,53,348575,PG,108,"Adventure, Family, Fantasy            ","Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.            "
Scott Pilgrim vs. the World,(2010),7.5,69,326569,PG-13,112,"Action, Comedy, Fantasy            ",Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.            
Easy A,(2010),7.1,72,320168,PG-13,92,"Comedy, Drama, Romance            ",A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.            
127 Hours,(2010),7.6,82,315314,R,94,"Adventure, Biography, Drama            ","An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.            "
The Town,(2010),7.6,74,314721,R,125,"Crime, Drama, Thriller            ","As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the F.B.I. Agent looking to bring him and his crew down.            "
The Fighter,(I) (2010),7.8,79,308652,R,116,"Biography, Drama, Sport            ","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.            "
The Expendables,(2010),6.5,45,301044,R,103,"Action, Adventure, Thriller            ",A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.            
Due Date,(2010),6.6,51,297866,R,95,"Adventure, Comedy, Drama            ",High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.            
TRON: Legacy,(2010),6.8,49,290067,PG,125,"Action, Adventure, Fantasy            ",The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.            
True Grit,(2010),7.6,80,274508,PG-13,110,"Adventure, Drama, Western            ",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.            
Salt,(2010),6.4,65,271892,PG-13,100,"Action, Mystery, Thriller            ",A CIA agent goes on the run after a defector accuses her of being a Russian spy.            
RED,(2010),7.1,60,265893,PG-13,111,"Action, Comedy, Crime            ","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants.            "
The Book of Eli,(2010),6.9,53,262165,R,118,"Action, Adventure, Drama            ","A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.            "
